,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
17,224001.54,109744.16,570880.15,191685.44,181247.45,4428.17,173455.53,41533.42,727352.1,643594.96,9700.56,504770.72,638420.14,587177.31,419214.04,323440.48,532320.92,0.0,755903.01,590438.08,160122.14,639808.97,160860.71,640518.53,396413.46,581917.52,448514.82,571620.07,249860.0,16893.34,24231.24,628183.76,347791.67,557596.76,371165.1,3166.75,706598.72,94769.03,80025.83,361434.26,563662.95,31686.0,41410.62,380346.61,38977.56,27516.69,4029.39,622039.27,41803.46,8124.3
18,525415.23,614514.96,201635.05,568240.37,568775.99,755007.22,585145.36,717124.91,39584.71,125466.53,755177.1,258354.03,118806.12,132916.33,451072.3,439825.05,252656.1,755903.01,0.0,209512.6,548260.77,131825.09,536660.01,132500.23,371681.44,213087.57,323167.78,217834.38,488171.8,760709.2,709355.99,138737.33,290680.2,197347.25,334177.8,751277.26,7768.93,626260.29,646235.93,418378.78,181678.52,692377.79,669208.99,338596.86,711926.59,735533.87,740925.45,148958.29,709441.34,767640.24
19,398110.67,447190.03,40864.32,426526.42,432590.55,589585.06,428556.59,561595.98,213484.58,213658.04,593044.06,65951.21,37325.13,110669.35,237751.4,269494.4,39961.91,590438.08,209512.6,0.0,382517.88,216670.41,372552.2,212863.6,181841.32,7014.04,115075.6,7579.16,374637.63,600351.29,543989.63,31444.35,317078.8,71639.78,314065.75,586996.08,179441.76,459046.93,483945.51,215850.71,271259.37,527644.38,501828.79,191017.19,548286.42,575744.01,576508.22,18256.89,549655.0,604440.61
20,72362.34,36487.03,359062.52,59008.6,50835.07,160809.62,35691.99,146401.98,539789.2,479882.9,164559.62,294732.29,427301.36,380013.68,259663.58,118850.92,322392.65,160122.14,548260.77,382517.88,0.0,475674.74,2323.88,477042.55,183921.83,374374.97,239272.4,364964.45,87925.42,163304.24,122419.43,418335.0,182797.88,346201.92,203737.59,154911.7,502471.09,47845.04,69539.31,151770.99,389453.63,107256.24,83936.39,207037.58,122992.76,152129.87,145704.67,411196.34,120840.32,164198.36
21,601672.09,550117.79,240995.09,631342.41,639097.17,649418.14,638449.54,709166.27,66500.71,8866.27,705285.16,307251.23,176339.31,259345.23,486614.84,486548.55,276668.31,639808.97,131825.09,216670.41,475674.74,0.0,433815.62,8468.97,414340.16,225265.51,366593.92,233731.95,576796.7,663822.23,587544.92,181424.94,508303.17,257451.82,494017.42,649813.59,171593.78,543429.48,541339.74,454573.85,387272.98,544697.89,541355.55,473954.36,601180.71,715708.19,620134.94,188554.9,572678.22,624283.31
22,63526.08,39999.58,348467.4,51744.6,48510.06,161715.81,32645.16,148371.26,528240.6,440274.79,166401.24,284033.89,416796.35,367832.24,255610.59,108408.63,312273.1,160860.71,536660.01,372552.2,2323.88,433815.62,0.0,436894.47,175111.52,364326.89,229372.81,354981.68,77764.7,164517.61,123612.69,407415.14,171796.97,335296.49,192033.37,156010.6,490304.38,51973.03,72060.48,143838.82,377901.65,108782.62,88140.69,200139.86,123735.63,154355.25,146391.0,400380.47,119824.79,163193.58
23,597432.66,550242.66,237623.93,626966.67,634424.84,649811.89,633898.86,706826.4,68570.46,3260.6,703810.85,302509.54,169517.52,259098.31,479432.17,481734.61,272356.4,640518.53,132500.23,212863.6,477042.55,8468.97,436894.47,0.0,409888.68,221026.9,361734.92,229009.28,572524.58,663954.62,588893.18,177752.42,503877.32,255158.16,490060.05,650069.57,168946.78,544165.67,542913.56,449915.64,383351.59,547345.23,543640.9,466481.06,601963.96,713477.62,621163.77,186615.16,574497.63,625717.72
24,184962.44,252102.72,148593.02,221255.53,219295.83,395763.29,234392.74,367331.21,388645.01,411358.54,399444.46,83532.88,241328.99,182648.82,145320.58,42950.76,117958.37,396413.46,371681.44,181841.32,183921.83,414340.16,175111.52,409888.68,0.0,178329.52,25078.47,172907.81,160773.8,406382.07,349393.93,236776.72,152427.26,147577.95,155514.06,392725.79,331931.96,263835.52,288759.27,17805.95,275754.17,332636.0,306880.78,99188.29,354181.62,381691.73,382237.09,206153.94,354947.3,410760.63
25,389199.81,438558.57,36124.96,417365.49,423781.48,580956.72,419563.03,552531.85,220465.58,221181.29,584471.27,58448.22,43438.84,107151.52,242385.91,261755.72,34154.04,581917.52,213087.57,7014.04,374374.97,225265.51,364326.89,221026.9,178329.52,0.0,112319.29,4435.43,365554.15,591801.07,535625.56,34426.18,306412.96,68478.0,305055.44,578503.8,183607.62,451322.97,475399.76,214224.09,272329.95,519268.17,493520.79,189969.54,539676.39,566970.28,568032.03,17825.9,540995.42,595731.5
26,246878.58,303345.74,77054.8,278399.44,278145.72,447550.12,282557.64,418281.6,348395.68,362698.34,451235.38,41912.5,177759.97,134986.88,142394.43,89563.48,59935.43,448514.82,323167.78,115075.6,239272.4,366593.92,229372.81,361734.92,25078.47,112319.29,0.0,108880.25,224494.76,458973.31,401525.06,172219.15,201685.98,92875.66,198618.39,445273.3,280746.06,316620.43,341007.3,52892.58,260354.78,385073.91,358563.06,92323.47,405868.94,433608.82,434429.04,129675.55,407337.58,462772.18
