,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,219170.57,114107.28,573359.31,185767.45,176150.93,4256.43,171936.52,22903.17,726826.55,706118.46,0.0,506779.34,640864.24,586395.33,421688.09,325029.7,535023.21,9700.56,755177.1,593044.06,164559.62,705285.16,166401.24,703810.85,399444.46,584471.27,451235.38,574068.78,244699.56,11811.22,26817.23,629932.11,340459.84,559673.67,360669.18,9395.96,704053.75,97788.19,82937.53,364933.0,555015.16,35255.56,46717.45,379496.98,33579.13,10337.89,9910.22,624305.77,34890.82,8431.51,77260.43,700477.15,421716.78,494042.25,9129.07,600998.91,324715.88,485325.89,776676.44,154032.32,639461.02,77617.37,534327.93,58526.63,321678.72,656165.13,565975.78,502865.9,7026.79,705604.56,411821.96,467470.51,523843.9,31126.22,90881.93,702937.64,492803.52,543504.75,506172.59,528765.81,29683.7,559899.05,27360.2,820012.38,522082.73,498314.43,666508.44,28670.7,4351.85,627045.42,306741.88,605475.99,376913.84,8876.31,522441.96,193989.4,7054.36,3002.55,506814.55,613454.92
11,297121.57,359648.68,28859.91,331881.32,335569.76,503853.33,337340.97,472220.08,279774.23,303779.39,506779.34,0.0,116717.48,98521.93,205295.01,180016.45,16754.57,504770.72,258354.03,65951.21,294732.29,307251.23,284033.89,302509.54,83532.88,58448.22,41912.5,54960.21,265567.26,513570.67,457729.28,107343.33,207691.21,43231.11,208650.17,500981.72,223705.39,372523.48,396096.18,125393.91,237284.38,440809.15,415727.52,146330.32,461682.68,488245.63,490283.87,73085.79,461612.05,518445.89,397837.73,301043.03,63486.51,202213.87,497023.91,86686.33,181770.88,42840.87,240065.69,315174.33,119176.76,384662.08,16389.34,401986.44,186192.25,132318.09,31778.61,17473.07,497963.53,254768.3,117316.34,37680.46,14468.08,455394.73,435283.94,145542.31,12395.95,19837.03,12641.58,15598.24,468987.32,27775.22,465422.5,265274.7,12335.33,11957.42,153685.09,463233.5,494763.37,104274.03,214909.62,185058.82,120163.46,507171.1,43880.88,324354.39,512160.02,504224.08,139205.18,67503.03
12,434207.15,493501.35,57636.46,465059.7,471838.98,637621.57,471220.02,606339.37,122798.49,168492.13,640864.24,116717.48,0.0,93348.01,296649.02,318475.18,83701.53,638420.14,118806.12,37325.13,427301.36,176339.31,416796.35,169517.52,241328.99,43438.84,177759.97,47329.34,408650.13,647391.45,591389.94,21610.44,279643.2,72840.38,282455.37,634660.59,101113.95,505457.57,529638.85,277709.09,215506.65,574523.23,548997.17,259122.63,595548.48,622412.38,624165.65,29187.82,595717.46,652328.37,531801.23,170524.61,214702.03,281918.09,630940.83,65375.57,321510.96,122927.92,72529.28,447648.44,19666.95,517216.86,90989.4,534490.26,322311.88,13354.15,62009.93,134485.92,632048.47,153197.81,213147.08,166377.45,85739.83,589129.4,569160.75,47859.46,139620.07,78889.77,129866.57,83231.0,603350.35,65790.98,599351.42,82165.57,101642.41,136596.05,36424.99,597053.69,628655.82,42915.88,317808.94,217602.34,266523.16,641154.42,83735.17,457768.68,645938.3,638895.88,157071.42,39790.31
13,295160.84,446202.58,63617.61,348867.62,336527.24,586395.39,389108.57,547798.99,173168.08,258055.14,586395.33,98521.93,93348.01,0.0,280091.35,251089.73,88712.7,587177.31,132916.33,110669.35,380013.68,259345.23,367832.24,259098.31,182648.82,107151.52,134986.88,117435.69,255307.02,591823.17,540741.79,98127.48,104260.86,51482.35,130911.78,582389.81,120074.46,458635.44,476677.15,219943.96,107135.72,523580.72,500583.93,158304.84,543437.48,566688.57,572144.05,81973.22,540609.37,598838.45,480867.94,252357.56,165003.19,276706.43,578519.26,11547.12,253225.95,83902.11,260980.04,402933.22,76201.68,470913.49,92014.27,488259.04,254465.79,143152.04,96831.65,103731.42,578996.0,101962.64,100215.23,120607.54,87639.91,537354.96,464403.03,133417.17,110870.67,96011.18,105388.81,87083.37,545515.59,87952.81,545110.28,204741.35,96204.51,111054.72,117640.03,543743.33,571941.03,44693.95,148103.32,207802.89,203106.31,586730.89,54593.51,338514.83,593975.63,583441.05,37588.92,86100.87
14,293213.61,298608.78,231736.17,302698.74,262078.47,417109.67,285659.05,399223.89,475829.43,478115.98,421688.09,205295.01,296649.02,280091.35,0.0,174050.8,216325.44,419214.04,451072.3,237751.4,259663.58,486614.84,255610.59,479432.17,145320.58,242385.91,142394.43,244835.77,277223.03,434564.05,379510.11,295693.51,259879.95,257944.55,235665.19,418719.23,407978.87,311272.7,336050.79,142558.69,342882.87,367731.24,341813.3,35641.5,381907.12,411309.47,408862.37,250717.63,387257.14,433669.58,333428.36,481117.26,145492.1,12196.87,415711.51,267558.38,169627.7,166577.07,293946.97,262342.91,303405.49,317184.51,193168.71,327328.19,183047.5,294455.13,223130.4,216982.32,416628.42,401577.68,219062.26,151526.79,222738.84,380299.93,377415.97,169111.09,204202.69,214884.35,215494.5,223486.13,395157.05,225560.76,393083.87,300931.96,205098.98,216095.16,317163.47,389520.08,421624.67,278284.93,264736.04,63655.68,161843.45,426989.64,241835.91,296956.17,425349.73,418971.84,253493.38,237573.19
15,118474.38,181202.66,248706.52,138823.93,134159.43,322326.17,144583.02,291186.48,456336.3,482997.87,325029.7,180016.45,318475.18,251089.73,174050.8,0.0,211166.75,323440.48,439825.05,269494.4,118850.92,486548.55,108408.63,481734.61,42950.76,261755.72,89563.48,253250.06,102746.58,332053.81,276804.8,308635.07,118237.45,240073.41,122255.81,319649.88,391804.97,193700.01,216029.87,29968.79,283395.51,260385.36,235925.61,109528.52,280149.76,306690.41,309117.53,303615.91,280272.88,336693.47,217434.41,479992.38,62495.26,219513.23,315763.12,268829.36,6271.09,133924.43,447936.56,136997.91,319345.85,205660.23,192035.71,222851.04,5645.71,333240.15,240440.96,178483.92,316637.66,383017.43,96427.41,105982.55,200328.11,274426.06,247884.58,334164.88,164967.33,217914.77,182986.82,204513.55,287828.81,233525.78,284304.91,493578.57,189642.65,174952.17,344462.53,282009.08,313578.78,305439.05,103037.32,282637.89,28578.6,325695.47,199845.73,132744.24,330528.05,322540.5,194707.58,290548.39
16,336078.62,387123.64,16948.88,364046.95,370677.29,531413.79,366679.43,502023.35,265004.49,273807.66,535023.21,16754.57,83701.53,88712.7,216325.44,211166.75,0.0,532320.92,252656.1,39961.91,322392.65,276668.31,312273.1,272356.4,117958.37,34154.04,59935.43,33604.8,312355.4,542074.62,485434.68,67818.21,260588.57,42609.03,252796.58,528837.82,215584.99,400090.44,424445.25,155366.73,255112.48,468718.03,442895.92,177147.79,489733.99,516982.97,518118.66,37590.58,490693.67,546406.09,426107.73,270932.29,87684.42,210230.04,525035.35,69219.12,214564.4,64240.47,200436.04,342348.27,89601.72,412064.93,15635.57,428667.76,220131.91,95350.18,13310.2,32617.48,525999.76,252473.5,156795.8,56848.13,8092.85,483459.82,467832.08,106646.41,30130.6,4570.03,26175.67,8900.04,498795.11,10145.23,493915.48,218119.43,17177.71,26491.21,134750.27,491591.27,523957.69,83736.08,273683.35,173648.54,152238.36,535426.14,51708.27,357427.28,539831.54,532964.37,152726.06,32488.72
17,224001.54,109744.16,570880.15,191685.44,181247.45,4428.17,173455.53,41533.42,727352.1,643594.96,9700.56,504770.72,638420.14,587177.31,419214.04,323440.48,532320.92,0.0,755903.01,590438.08,160122.14,639808.97,160860.71,640518.53,396413.46,581917.52,448514.82,571620.07,249860.0,16893.34,24231.24,628183.76,347791.67,557596.76,371165.1,3166.75,706598.72,94769.03,80025.83,361434.26,563662.95,31686.0,41410.62,380346.61,38977.56,27516.69,4029.39,622039.27,41803.46,8124.3,76213.27,636303.32,418559.89,487446.46,2717.13,600002.75,323025.51,484785.72,772753.93,150733.95,637237.06,74476.26,531590.01,55503.27,320117.45,653268.5,563022.51,500346.18,4772.61,706966.98,414367.19,464567.46,521391.68,29533.63,110264.37,699897.63,490894.49,540726.04,503723.08,526329.51,47841.54,557011.03,27662.87,817297.68,520178.93,495801.83,665933.67,30451.88,15136.02,625081.87,313601.53,595935.99,373383.38,7501.44,522572.04,199681.11,3153.47,11363.33,510855.49,610702.22
18,525415.23,614514.96,201635.05,568240.37,568775.99,755007.22,585145.36,717124.91,39584.71,125466.53,755177.1,258354.03,118806.12,132916.33,451072.3,439825.05,252656.1,755903.01,0.0,209512.6,548260.77,131825.09,536660.01,132500.23,371681.44,213087.57,323167.78,217834.38,488171.8,760709.2,709355.99,138737.33,290680.2,197347.25,334177.8,751277.26,7768.93,626260.29,646235.93,418378.78,181678.52,692377.79,669208.99,338596.86,711926.59,735533.87,740925.45,148958.29,709441.34,767640.24,649406.26,124373.31,348296.33,422623.06,747261.49,134124.71,441736.95,223941.54,188475.13,570714.28,108927.95,639231.99,238802.41,656816.14,441242.4,164025.29,222274.77,268253.06,747819.53,95434.46,302694.13,311275.85,248033.53,706318.3,674143.13,119289.11,260858.24,248893.0,262017.91,244718.43,714681.66,231823.6,714021.39,93470.12,235876.54,277545.14,57244.0,712585.95,740768.98,123171.44,377109.22,330990.64,401663.19,755746.22,188056.67,559268.87,762686.58,751925.79,174134.19,177852.82
19,398110.67,447190.03,40864.32,426526.42,432590.55,589585.06,428556.59,561595.98,213484.58,213658.04,593044.06,65951.21,37325.13,110669.35,237751.4,269494.4,39961.91,590438.08,209512.6,0.0,382517.88,216670.41,372552.2,212863.6,181841.32,7014.04,115075.6,7579.16,374637.63,600351.29,543989.63,31444.35,317078.8,71639.78,314065.75,586996.08,179441.76,459046.93,483945.51,215850.71,271259.37,527644.38,501828.79,191017.19,548286.42,575744.01,576508.22,18256.89,549655.0,604440.61,485458.75,211180.94,151009.57,223453.93,583289.74,78491.32,272704.93,108528.24,144199.5,401867.78,43883.69,470560.55,48377.0,487386.12,282846.42,48650.77,21001.7,89888.47,584435.11,213981.04,224917.2,110324.08,37696.21,542113.27,529796.24,55990.53,86054.64,35067.85,84946.09,38877.92,558420.5,24486.71,552729.67,149048.98,55779.02,86147.52,89289.41,550201.86,582754.04,59247.8,331618.68,188423.61,215165.86,593686.03,85115.8,420072.22,597866.22,591185.25,192344.92,14815.51
