,label1,label2,distance,sampleSize
clusters 306,539.0,575.0,1523883.5514241795,4.0
clusters 307,602.0,614.0,1621122.8564976137,30.0
clusters 308,584.0,620.0,1658282.1792273505,11.0
clusters 309,594.0,608.0,1713108.592130618,7.0
clusters 310,607.0,623.0,1732896.5555974161,31.0
clusters 311,616.0,636.0,1894325.4765289505,15.0
clusters 312,628.0,631.0,1955646.5789332292,43.0
clusters 313,577.0,633.0,1992741.818193499,23.0
clusters 314,613.0,627.0,2057338.3097499658,16.0
clusters 315,612.0,640.0,2132480.6002561157,67.0
clusters 316,591.0,622.0,2161204.3223163425,18.0
clusters 317,635.0,641.0,2277713.3981090947,53.0
clusters 318,629.0,639.0,2281377.907811457,32.0
clusters 319,637.0,642.0,2405522.5272924253,23.0
clusters 320,630.0,634.0,2636312.912618824,8.0
clusters 321,632.0,638.0,2943684.6913886187,53.0
clusters 322,644.0,647.0,3027229.5740474784,41.0
clusters 323,643.0,648.0,3091075.159499412,75.0
clusters 324,646.0,651.0,3703570.621396086,107.0
clusters 325,626.0,649.0,4119699.162167916,128.0
clusters 326,645.0,652.0,5421421.838664357,160.0
clusters 327,650.0,653.0,7135401.639527478,169.0
clusters 328,654.0,655.0,10002013.511220269,329.0
